廠商ID,廠商名稱,廠商電話,聯絡人,地址,email
001,星匠,02-1266-5448,陳美玲,台北市大安區光復南路123號,john.doe@gmail.com
002,創想,02-2300-6339,王大志,新北市板橋區文化路456號,emily.smith@gmail.com
003,菁英麗,03-3345-7802,林雅文,桃園市中壢區中正路789號,david.jones@gmail.com
004,鉅碩,04-4778-9014,李婷婷,台中市西屯區市政北路234號,lisa.wang@gmail.com
005,智翔,06-2467-0892,吳明偉,台南市安南區永華路567號,kevin.chen@gmail.com
006,華城,07-6089-0012,林惠娟,高雄市左營區明誠路890號,sarah.miller@gmail.com
007,星光,02-7898-1255,蔡宗翰,基隆市中正區中山東路123號,brian.wilson@gmail.com
008,美力,03-8019-2256,陳怡君,新竹市東區光復路456號,jessica.kim@gmail.com
009,創新信,05-6122-6377,黃志明,嘉義市西區文化路789號,matthew.brown@gmail.com
010,億利,037-2339-8574,許小芳,苗栗縣苗栗市中正路234號,olivia.li@gmail.com
011,宏偉,04-3499-0076,鄭大同,彰化縣彰化市和平路567號,aaron.nguyen@gmail.com
012,優勢技,04-3955-7870,莊雅琪,台中市中區中山路890號,sophie.white@gmail.com
013,輝煌,05-2360-7099,賴建宏,雲林縣斗六市民生路123號,jason.wu@gmail.com
014,雅思,05-2281-5870,蔡佳慧,嘉義縣太保市中山南路456號,amanda.garcia@gmail.com
015,麗雅,08-7812-9004,郭文彬,屏東縣屏東市自由路789號,chris.martin@gmail.com
016,環球,04-4129-0013,陳怡如,台中市中區民族路234號,mia.jackson@gmail.com
017,恆盛,04-3091-2276,林振宇,台中市北區國盛街567號,daniel.lee@gmail.com
018,美勤,04-4331-0871,許佳玲,台中市中區建國路890號,ashley.smith@gmail.com
019,華韻文創,04-5002-1028,鄭志強,台中市霧峰區中正路123號,jacob.tan@gmail.com
020,聚寶,04-6443-2910,黃怡萱,台中市西區民權路456號,grace.jones@gmail.com
021,大成,04-6054-3310,洪偉智,台中市北區三民路三段789號,nathan.chen@gmail.com
022,華夏,02-2845-4001,陳美惠,新北市三峽區大同路234號,anna.wang@gmail.com
023,貝恩,04-4796-5223,劉宗翰,台中市大甲區中山路567號,joshua.kim@gmail.com
024,金星,05-5987-1131,許婉婷,嘉義縣水上鄉文化路890號,sophia.yang@gmail.com
025,安捷,06-2365-1113,賴大雄,台南市安平區永華路123號,ethan.chang@gmail.com
026,大宇,04-5564-1099,蔡雅雯,台中市西屯區市政北路456號,emma.johnson@gmail.com
027,精尚,04-5543-1107,林建宏,彰化縣大村鄉和平街789號,liam.wu@gmail.com
028,全樺,07-5400-1098,楊小玲,高雄市鳳山區明誠路234號,ava.nguyen@gmail.com
029,嘉銀,03-4221-0773,邱志偉,新竹市北區光復路567號,logan.lin@gmail.com
030,安宏,02-3378-9846,楊大政,台北市中山區民族東路890號,mia.chen@gmail.com
